2,0.4
3,0.8
4,1.5
5,3.5
6,4.6
7,6.1
8,8.1
9,9.5
10,12
11,16.2
12,14
13,19.2
14,20
15,27
16,29.9
17,31.4
18,36.6
19,39.3
20,42
21,43.9
22,49.8
23,49.7
24,51.2
25,56.8
26,60.8
27,65.4
28,65
29,68.3
30,70.6
31,72.5
32,75.7
33,74.8
34,81.7
35,79.8
36,80.2
37,83.7
38,85.9
39,85.4
